ranking,author_id,author_name,anci_p_frac,paper_count,career_length
1,143845796,Jeffrey Pennington,3095.8483684396388,1,12
2,2587983,Wei-Jing Zhu,1449.3834932193297,1,24
3,3158246,B. Merrienboer,965.6183252196491,1,12
4,46924970,Salim Roukos,726.1497762184645,2,24
5,2787620,Konstantin Lopyrev,647.1601231534588,1,10
6,1689647,Peter Turney,590.4631107742339,2,24
7,2087141625,Xingcheng Yao,511.61235325195184,1,5
8,39172707,Jacob Devlin,500.53773524439595,14,12
9,1730156,Carlos Guestrin,488.5323700252625,4,10
10,3323275,Kishore Papineni,486.9075298289879,3,24
11,38367242,Yoon Kim,454.2485001267459,9,12
12,2132971481,Kai Zou,371.1611124950611,1,7
13,2146254443,Zhibiao Wu,350.9901285114725,1,32
14,2544107,Kenton Lee,337.9423276821067,23,12
15,1854385,Çaglar Gülçehre,335.94912449345867,3,12
16,144582029,Todd Ward,330.30978303412786,4,29
17,2093348519,Jeremy Howard,326.32977951759165,2,8
18,2151810148,Jian Zhang,325.9912982926078,2,10
19,48639938,Stephanie Lin,324.0,1,4
20,2052366271,Jacob Hilton,324.0,1,4
21,47107786,Owain Evans,324.0,1,4
22,2076086,Fethi Bougares,322.2480527481896,3,12
23,8421815,Kai Tai,313.87330970545196,1,11
24,1744179,Ming-Wei Chang,303.2608284834624,24,12
25,1821711,Thang Luong,288.58153308445384,3,11
26,113947684,Abdel-rahman Mohamed,279.3879650085279,2,6
27,143950636,Hieu Pham,273.3451598051242,3,11
28,2784228,Jenny Rose Finkel,257.6244042477754,2,21
29,3259253,Kristina Toutanova,242.81094743196678,21,24
30,3218666,Hao Tan,237.7396535228039,2,7
31,2706258,Pranav Rajpurkar,237.43907593695093,4,10
32,13070498,Abigail See,236.0277777777778,2,9
33,46234526,Alex Smola,235.8532088208916,1,10
34,50043859,Mark Neumann,218.64330929939035,3,8
35,2066721,Shivakumar Vaithyanathan,215.71386058898895,3,24
36,2082648761,Elad Ben-Zaken,207.33333333333334,1,4
37,1406118956,John Lowe,202.90392792712015,1,28
38,78846919,Marco Ribeiro,200.63861184353323,10,10
39,145165877,Patrick Hanks,200.58731438594907,2,37
40,144865353,Bo Pang,197.50533029465228,7,24
41,144661918,John Bauer,177.10219507391773,2,12
42,2583391,Nal Kalchbrenner,172.43528039796823,2,12
43,32551341,Xiang Li,170.14070752510364,5,7
44,83390207,Willem Zuidema,164.11581276647294,1,6
45,2959414,Nils Reimers,151.71022827398426,15,10
46,39793298,Sam Gross,149.2487212795186,1,7
47,152918929,Anton Bakhtin,144.7063982378184,1,7
48,144026731,Jason Wei,140.25361677960495,3,7
49,143997772,Christopher Clark,136.6794266102006,6,8
50,50324141,Sandeep Subramanian,135.89097675158567,2,10
51,2166511,Richard Socher,130.85253934155665,29,12
52,2881033,Solon Barocas,128.29202527826897,1,6
53,2113584859,John Richardson,127.7086767316844,4,12
54,3050250,Trond Grenager,127.03918176572026,2,21
55,2110909951,Stanley Chen,122.75376039142625,3,33
56,35025299,Peter Liu,121.60317460317462,4,9
57,2002316,Franz Josef Och,120.2399479760604,8,28
58,51114267,Alastair Moore,119.7,1,4
59,2108925678,Rie Johnson,118.64471409134998,2,11
60,50728655,Tong Zhang,118.64471409134998,2,11
61,11323179,Yinhan Liu,116.9684695475663,5,7
62,2097712964,Hanoona Rasheed,116.84939559107697,1,2
63,2358803,Fahad Khan,116.84939559107697,1,2
64,2111181927,Salman Khan,116.84939559107697,1,2
65,32437679,Muhammad Maaz,116.84939559107697,1,2
66,152859769,Goutham Ramakrishnan,113.69714889418586,1,6
67,3335364,Dzmitry Bahdanau,112.68701170699813,9,12
68,7685850,Sebastian Goodman,111.47243777580427,2,8
69,35097114,Saizheng Zhang,111.42403463304449,2,8
70,3295092,Sumit Chopra,108.13289416697366,4,12
71,1388360943,Rami Al-Rfou,105.11629749649389,7,6
72,1765329,Taku Kudo,105.0842439884274,6,24
73,2912454,Charles Fillmore,104.34969158996417,2,28
74,1962694751,Samuel Gehman,99.77588218936813,1,6
75,65828281,Mark Matten,97.64436427669547,1,12
76,3006072,Sahar Kazemzadeh,97.64436427669547,1,12
77,2149199788,Tao Li,95.81296885077718,1,8
78,48122415,Wei Xue,95.81296885077718,1,8
79,49451193,Fang Wang,95.6831930774679,1,6
80,39706649,Xiaoqi Jiao,95.6831930774679,1,6
81,39347554,Roei Schuster,94.80928224599108,1,5
82,2279669419,Jun Tian,93.70882799632297,1,10
83,2072539340,Zhenyu Qi,93.70882799632297,1,10
84,38953293,Bingchen Li,93.70882799632297,1,10
85,3182726,Matthew Honnibal,93.31776114681784,1,11
86,36290866,Anyi Rao,92.71937668308604,1,8
87,3451828,Ivana Balazevic,91.97135509891196,1,7
88,2158624629,Wei Wang,91.6,1,4
89,3129590,Fangxiaoyu Feng,91.6,1,4
90,1759422,Veselin Stoyanov,91.4052898150595,9,8
91,144104130,Brian Lester,91.331965198738,6,7
92,2240597,David McClosky,91.11910342179188,4,12
93,2055422009,Guoliang Ji,91.11672833140017,1,11
94,1864353,Edward Grefenstette,90.66031615431083,4,12
95,2968188,Valentin Tablan,90.0187480472818,1,24
96,145435830,Hamish Cunningham,90.0187480472818,1,24
97,40267343,Kartikay Khandelwal,89.83781636288273,3,6
98,2157158,Fedor Moiseev,86.93182879212226,1,7
99,150322801,Timothy Niven,85.98691760959919,1,7
100,49754061,Anthony Richardella,85.93626514264318,1,24
