ranking,author_id,author_name,accel_score,paper_count,career_length
1,2051712753,Aohan Zeng,149.0,5,2
2,2234629967,Zhidian Huang,107.0,1,2
3,2220304036,Hong Lyu,107.0,1,2
4,2204826271,Jiankai Tang,107.0,1,2
5,2264251662,Hanna Hajishirzi,99.0,9,2
6,2283848744,Shayne Longpre,95.0,4,2
7,2052363815,Nathan Lambert,94.0,3,2
8,2283844788,Shivalika Singh,92.0,3,2
9,7140106,Freddie Vargus,92.0,2,2
10,1500573542,Wei-Yin Ko,92.0,2,2
11,2264002618,Noah Smith,80.0,4,2
12,2282136328,Rodney Kinney,79.0,2,2
13,2282136556,Jennifer Dumas,79.0,2,2
14,2282136595,Crystal Nam,79.0,2,2
15,2282136757,David Atkinson,79.0,2,2
16,47286118,Ananya Jha,79.0,3,2
17,2260133345,Iz Beltagy,79.0,3,2
18,2267244582,Matthew Peters,79.0,2,2
19,2264248042,Dustin Schwenk,79.0,2,2
20,2260595820,Jie Tang,64.0,10,2
21,2243402027,Yuxiao Dong,63.0,13,2
22,2283848746,Phil Blunsom,58.0,3,2
23,1432838153,Daniel D'souza,58.0,2,2
24,2283847157,Hui-Lee Ooi,58.0,1,2
25,2024731522,Amr Kayid,58.0,1,2
26,2283848415,Neel Bhandari,58.0,1,2
27,2283848534,Viraat Aryabumi,58.0,3,2
28,14737712,Junru Wu,55.0,1,2
29,1886219,Rolf Jagerman,55.0,2,2
30,1526973500,Xuanhui Wang,55.0,1,2
31,2282138468,William Merrill,51.0,2,2
32,2282190660,Saurabh Shah,50.0,1,2
33,2259924223,Shane Arora,50.0,1,2
34,2282155558,Will Smith,50.0,1,2
35,2064164220,Chen An,47.0,1,2
36,2257314035,Chang Zhou,47.0,6,2
37,2257001403,Keming Lu,47.0,7,2
38,2274200088,Deli Chen,47.0,4,2
39,13289447,Xufang Luo,47.0,2,2
40,2274917091,R.x. Xu,47.0,3,2
41,2285194103,Graham Neubig,45.0,10,2
42,2253952872,Jason Wei,43.0,8,2
43,2254934700,Jerry Wei,43.0,2,2
44,2254296566,Thang Luong,42.0,1,2
45,1998340269,Quoc Le,42.0,1,2
46,2254263662,Noah Constant,42.0,2,2
47,2238394232,Xuezhi Wang,42.0,1,2
48,2254198228,Yun-Hsuan Sung,42.0,2,2
49,2265058484,Sebastian Gehrmann,41.0,8,2
50,2285251994,Bill Lin,41.0,5,2
51,2257039734,Chengpeng Li,39.0,2,2
52,2256132386,Qingwei Lin,39.0,5,2
53,2299329316,Juyoung Suk,37.0,2,2
54,2260453208,Bowen Wang,37.0,1,2
55,2260340090,Rui Lu,37.0,1,2
56,2260641326,Mingdao Liu,37.0,1,2
57,2299484454,Jamin Shin,37.0,2,2
58,2248487202,Dayiheng Liu,37.0,2,2
59,39623829,Abhinandan Krishnan,34.0,1,2
60,1692246,Gopala Anumanchipalli,34.0,5,2
61,2283767989,Ifeoma Okoh,34.0,1,2
62,2091417428,Oshan Mudannayake,34.0,1,2
63,2283769216,Surya Guthikonda,34.0,1,2
64,1484109150,Minh Vu,34.0,1,2
65,2287028357,Max Bartolo,34.0,2,2
66,2283824430,Jay Patel,34.0,1,2
67,3366968,Emad Alghamdi,34.0,2,2
68,2283816089,Marina Machado,34.0,1,2
69,2283791017,Joseph Wilson,34.0,1,2
70,2601300,Don Husa,34.0,1,2
71,2283770582,Luisa Moura,34.0,1,2
72,2216335988,Aisha Alaagib,34.0,1,2
73,2283767018,Irem Ergun,34.0,1,2
74,2283769272,Daniel Dsouza,34.0,1,2
75,2047712004,Ramith Hettiarachchi,34.0,1,2
76,35194054,Satya Shukla,34.0,1,2
77,2283768246,Deividas Mataciunas,34.0,1,2
78,2283767148,Laura OMahony,34.0,1,2
79,2252226,Hakimeh Fadaei,34.0,1,2
80,2283767135,Dominik Krzemi'nski,34.0,1,2
81,2213270141,Herumb Shandilya,34.0,1,2
82,2158524037,Rongwu Xu,31.0,7,2
83,2266194421,Haoxiang Wang,31.0,4,2
84,2188204871,Han Zhao,31.0,4,2
85,2276482720,Hwalsuk Lee,30.0,2,2
86,2276483653,Sukyung Lee,30.0,4,2
87,2254279326,Zhanhui Zhou,30.0,6,2
88,2276638686,Yungi Kim,30.0,6,2
89,2256984804,Hyeonwoo Kim,30.0,5,2
90,2276457059,Sanghoon Kim,30.0,2,2
91,2276488417,Dahyun Kim,30.0,5,2
92,2250363276,Xiaoyang Wang,30.0,6,2
93,8786274,Boyuan Chen,30.0,1,2
94,2185571736,Peng Jin,30.0,3,2
95,2291076200,Noah Lee,30.0,3,2
96,2266507381,Li Yuan,30.0,3,2
97,2181524288,Dongsheng Li,29.0,1,2
98,2259003726,Li Lucy,29.0,3,2
99,1739023723,Siheng Xiong,29.0,3,2
100,3443416,Ali Payani,29.0,3,2
