ranking,author_id,author_name,anci_score,paper_count,career_length
1,143845796,Jeffrey Pennington,3095.85,1,12
2,2587983,Wei-Jing Zhu,1449.38,1,24
3,3158246,B. Merrienboer,965.62,1,12
4,46924970,Salim Roukos,726.15,2,24
5,2787620,Konstantin Lopyrev,647.16,1,10
6,1689647,Peter Turney,590.46,2,24
7,2087141625,Xingcheng Yao,511.61,1,5
8,39172707,Jacob Devlin,500.54,14,12
9,1730156,Carlos Guestrin,488.53,4,10
10,3323275,Kishore Papineni,486.91,3,24
11,38367242,Yoon Kim,454.25,9,12
12,2132971481,Kai Zou,371.16,1,7
13,2146254443,Zhibiao Wu,350.99,1,32
14,2544107,Kenton Lee,337.94,23,12
15,1854385,Çaglar Gülçehre,335.95,3,12
16,144582029,Todd Ward,330.31,4,29
17,2093348519,Jeremy Howard,326.33,2,8
18,2151810148,Jian Zhang,325.99,2,10
19,48639938,Stephanie Lin,324.0,1,4
20,2052366271,Jacob Hilton,324.0,1,4
21,47107786,Owain Evans,324.0,1,4
22,2076086,Fethi Bougares,322.25,3,12
23,8421815,Kai Tai,313.87,1,11
24,1744179,Ming-Wei Chang,303.26,24,12
25,1821711,Thang Luong,288.58,3,11
26,113947684,Abdel-rahman Mohamed,279.39,2,6
27,143950636,Hieu Pham,273.35,3,11
28,2784228,Jenny Rose Finkel,257.62,2,21
29,3259253,Kristina Toutanova,242.81,21,24
30,3218666,Hao Tan,237.74,2,7
31,2706258,Pranav Rajpurkar,237.44,4,10
32,13070498,Abigail See,236.03,2,9
33,46234526,Alex Smola,235.85,1,10
34,50043859,Mark Neumann,218.64,3,8
35,2066721,Shivakumar Vaithyanathan,215.71,3,24
36,2082648761,Elad Ben-Zaken,207.33,1,4
37,1406118956,John Lowe,202.9,1,28
38,78846919,Marco Ribeiro,200.64,10,10
39,145165877,Patrick Hanks,200.59,2,37
40,144865353,Bo Pang,197.51,7,24
41,144661918,John Bauer,177.1,2,12
42,2583391,Nal Kalchbrenner,172.44,2,12
43,32551341,Xiang Li,170.14,5,7
44,83390207,Willem Zuidema,164.12,1,6
45,2959414,Nils Reimers,151.71,15,10
46,39793298,Sam Gross,149.25,1,7
47,152918929,Anton Bakhtin,144.71,1,7
48,144026731,Jason Wei,140.25,3,7
49,143997772,Christopher Clark,136.68,6,8
50,50324141,Sandeep Subramanian,135.89,2,10
51,2166511,Richard Socher,130.85,29,12
52,2881033,Solon Barocas,128.29,1,6
53,2113584859,John Richardson,127.71,4,12
54,3050250,Trond Grenager,127.04,2,21
55,2110909951,Stanley Chen,122.75,3,33
56,35025299,Peter Liu,121.6,4,9
57,2002316,Franz Josef Och,120.24,8,28
58,51114267,Alastair Moore,119.7,1,4
59,2108925678,Rie Johnson,118.64,2,11
60,50728655,Tong Zhang,118.64,2,11
61,11323179,Yinhan Liu,116.97,5,7
62,2097712964,Hanoona Rasheed,116.85,1,2
63,2358803,Fahad Khan,116.85,1,2
64,2111181927,Salman Khan,116.85,1,2
65,32437679,Muhammad Maaz,116.85,1,2
66,152859769,Goutham Ramakrishnan,113.7,1,6
67,3335364,Dzmitry Bahdanau,112.69,9,12
68,7685850,Sebastian Goodman,111.47,2,8
69,35097114,Saizheng Zhang,111.42,2,8
70,3295092,Sumit Chopra,108.13,4,12
71,1388360943,Rami Al-Rfou,105.12,7,6
72,1765329,Taku Kudo,105.08,6,24
73,2912454,Charles Fillmore,104.35,2,28
74,1962694751,Samuel Gehman,99.78,1,6
75,65828281,Mark Matten,97.64,1,12
76,3006072,Sahar Kazemzadeh,97.64,1,12
77,2149199788,Tao Li,95.81,1,8
78,48122415,Wei Xue,95.81,1,8
79,49451193,Fang Wang,95.68,1,6
80,39706649,Xiaoqi Jiao,95.68,1,6
81,39347554,Roei Schuster,94.81,1,5
82,2279669419,Jun Tian,93.71,1,10
83,2072539340,Zhenyu Qi,93.71,1,10
84,38953293,Bingchen Li,93.71,1,10
85,3182726,Matthew Honnibal,93.32,1,11
86,36290866,Anyi Rao,92.72,1,8
87,3451828,Ivana Balazevic,91.97,1,7
88,2158624629,Wei Wang,91.6,1,4
89,3129590,Fangxiaoyu Feng,91.6,1,4
90,1759422,Veselin Stoyanov,91.41,9,8
91,144104130,Brian Lester,91.33,6,7
92,2240597,David McClosky,91.12,4,12
93,2055422009,Guoliang Ji,91.12,1,11
94,1864353,Edward Grefenstette,90.66,4,12
95,2968188,Valentin Tablan,90.02,1,24
96,145435830,Hamish Cunningham,90.02,1,24
97,40267343,Kartikay Khandelwal,89.84,3,6
98,2157158,Fedor Moiseev,86.93,1,7
99,150322801,Timothy Niven,85.99,1,7
100,49754061,Anthony Richardella,85.94,1,24
